"G: 16000, DT: 0.0007"		x	y	vx	vy	p_mag	v_mag
	100000.01	-99.9804	1.4	28	2000	99.99020144	2000.19599
	100000.01	-99.88239617	4.19890197	84.00273418	1998.823501	99.97061489	2000.587875
	100000.01	-99.70601931	6.994509097	139.9724575	1996.077697	99.95105525	2000.979375
	100000.01	-99.45136191	9.784624578	195.8651176	1991.762904	99.93153788	2001.370183
	100000.01	-99.11857814	12.56705336	251.6366197	1985.880678	99.91207816	2001.75999
	100000.01	-98.70788392	15.33960386	307.2428617	1978.433824	99.8926914	2002.148489
	100000.01	-98.21955692	18.10008974	362.6397699	1969.426392	99.87339291	2002.535372
	100000.01	-97.65393641	20.84633167	417.7833349	1958.863688	99.85419791	2002.920334
	100000.01	-97.01142319	23.57615904	472.6296477	1946.75227	99.83512159	2003.303068
	100000.01	-96.29247938	26.28741173	527.1349359	1933.099948	99.81617905	2003.683271
	100000.01	-95.90450713	27.63540085	554.2460633	1925.698733	99.80676264	2003.872328
	100000.01	-95.07191752	30.31476861	608.158131	1909.752445	99.78804887	2004.248167
	100000.01	-94.16431933	32.97021887	661.6205823	1892.290263	99.7695062	2004.620721
	100000.01	-93.18238722	35.59964206	714.590413	1873.324372	99.75114938	2004.989691
	100000.01	-92.12685571	38.20094698	767.0249211	1852.868204	99.732993	2005.354784
	100000.01	-90.99851876	40.77206254	818.8817446	1830.936421	99.71505152	2005.715705
	100000.01	-89.79822926	43.31093945	870.1188978	1807.544919	99.69733925	2006.072165
	100000.01	-88.52689843	45.81555197	920.694809	1782.710813	99.67987033	2006.423877
	100000.01	-87.18549523	48.28389959	970.5683571	1756.452429	99.6626587	2006.770557
	100000.01	-85.77504568	50.71400873	1019.698909	1728.789293	99.64571813	2007.111926
	100000.01	-84.29663213	53.10393437	1068.046354	1699.742123	99.62906219	2007.447707
	100000.01	-82.7513925	55.45176177	1115.571144	1669.33281	99.61270423	2007.777629
	100000.01	-81.14051948	57.75560801	1162.234328	1637.584409	99.59665736	2008.101424
	100000.01	-78.60388864	61.12487668	1230.529949	1587.504265	99.57319849	2008.575054
	100000.01	-76.83450129	63.31075601	1274.872941	1552.516488	99.55798519	2008.882391
	100000.01	-75.00407295	65.44633809	1318.22321	1516.279229	99.54312697	2009.182703
	100000.01	-73.1140311	67.52990303	1360.544929	1478.820563	99.52863581	2009.475743
	100000.01	-71.16585259	69.55977135	1401.803059	1440.169628	99.51452339	2009.761273
	100000.01	-69.16106243	71.53430549	1441.963387	1400.3566	99.50080109	2010.039059
	100000.01	-67.10123266	73.45191117	1480.992552	1359.412676	99.48748001	2010.308873
	100000.01	-64.98798106	75.31103885	1518.858085	1317.370042	99.4745709	2010.570493
	100000.01	-62.82296994	77.11018507	1555.528432	1274.261855	99.46208421	2010.823707
	100000.01	-60.60790478	78.84789378	1590.972993	1230.122211	99.45003004	2011.068303
	100000.01	-58.34453286	80.52275761	1625.162147	1184.986122	99.43841817	2011.304083
	100000.01	-56.03464189	82.13341917	1658.067282	1138.889481	99.42725801	2011.53085
	100000.01	-53.68005853	83.67857218	1689.660824	1091.86904	99.41655861	2011.748419
	100000.01	-51.28264695	85.15696271	1719.916265	1043.962374	99.40632866	2011.956609
	100000.01	-48.84430727	86.56739028	1748.808189	995.207851	99.39657646	2012.155249
	100000.01	-46.36697403	87.90870888	1776.312294	945.6445996	99.38730995	2012.344174
	100000.01	-43.85261459	89.17982811	1802.405424	895.3124749	99.37853665	2012.523228
	100000.01	-41.30322751	90.37971403	1827.065587	844.2520242	99.37026372	2012.692262
	100000.01	-38.7208409	91.50739022	1850.271977	792.5044522	99.36249788	2012.851136
	100000.01	-36.10751071	92.56193856	1872.004997	740.1115843	99.35524546	2012.999718
	100000.01	-33.46531907	93.54250012	1892.246279	687.1158303	99.34851237	2013.137885
	100000.01	-29.45253064	94.87288604	1919.77409	606.5858947	99.33939836	2013.325359
	100000.01	-26.74745042	95.66511801	1936.213898	552.2719605	99.33398667	2013.437006
	100000.01	-24.0209767	96.38083367	1951.107616	497.5076262	99.32911165	2013.537874
	100000.01	-21.27528738	97.01944922	1964.44262	442.3374559	99.32477727	2013.627879
	100000.01	-18.51257664	97.58044363	1976.207602	386.8063839	99.32098708	2013.706946
	100000.01	-15.73505312	98.06335916	1986.392581	330.9596734	99.31774416	2013.77501
	100000.01	-12.94493801	98.46780169	1994.988916	274.8428758	99.31505118	2013.832014
	100000.01	-10.14446319	98.79344119	2001.989312	218.5017889	99.31291032	2013.87791
	100000.01	-7.335869318	99.04001194	2007.38783	161.9824153	99.31132334	2013.91266
	100000.01	-4.521403964	99.20731279	2011.179891	105.3309202	99.31029153	2013.936235
	100000.01	-1.703319655	99.29520736	2013.362284	48.59358935	99.30981574	2013.948615
	100000.01	1.116128018	99.30362417	2013.933165	-8.183213713	99.30989636	2013.94979
	100000.01	3.934682323	99.23255666	2012.892062	-64.95308993	99.31053331	2013.93976
	100000.01	6.750087305	99.08206326	2010.239873	-121.6696473	99.31172609	2013.918532
	100000.01	9.560089708	98.85226726	2005.97887	-178.2865437	99.3134737	2013.886123
	100000.01	12.36244089	98.54335678	2000.112689	-234.7575288	99.31577473	2013.842562
	100000.01	15.15489874	98.15558452	1992.646333	-291.0364871	99.3186273	2013.787885
	100000.01	17.93522957	97.68926757	1983.586163	-347.0774796	99.32202907	2013.722136
	100000.01	20.70121003	97.14478711	1972.939892	-402.8347862	99.32597726	2013.645372
	100000.01	24.81844066	96.18250043	1954.016726	-485.8394726	99.33291693	2013.509712
	100000.01	27.53890272	95.44469612	1939.447748	-540.6893483	99.33821611	2013.405707
	100000.01	30.23734105	94.63056156	1923.330187	-595.0978378	99.34404851	2013.290949
	100000.01	32.91160189	93.74076115	1905.677721	-649.0207153	99.35040936	2013.165533
	100000.01	35.55955198	92.77602077	1886.505321	-702.4141983	99.35729347	2013.029566
	100000.01	38.17908037	91.73712707	1865.829232	-755.2349862	99.36469524	2012.883158
	100000.01	40.76810015	90.6249268	1843.666958	-807.4402996	99.37260864	2012.726432
	100000.01	43.32455023	89.440326	1820.037244	-858.9879178	99.3810272	2012.559517
