"G: 16000, DT: 0.0007",,x,y,vx,vy,v_mag,p_mag,,,Time
1,1,-910.4742146,-273.208673,2067.337876,0.75246449,2067.338013,950.5820714,,,0.0007
2,1,-907.5748213,-273.2060281,2072.216171,2.26949851,2072.217414,947.804616,,,0.0014
3,1,-904.6685748,-273.2012424,2077.116926,3.802639153,2077.120406,945.0207136,,,0.0021
4,1,-901.7554438,-273.1942934,2082.040047,5.351833889,2082.046926,942.230334,,,0.0028
5,1,-898.835397,-273.1851588,2086.985459,6.917016512,2086.996921,939.4334473,,,0.0035
6,1,-895.9084033,-273.1738163,2091.953098,8.498107777,2091.970359,936.6300235,,,0.0042
7,1,-892.9744316,-273.1602435,2096.94292,10.09501612,2096.96722,933.820033,,,0.0049
8,1,-890.0334508,-273.1444186,2101.954902,11.70763846,2101.987506,931.0034463,,,0.0056
9,1,-887.0854301,-273.1263197,2106.989038,13.33586101,2107.031241,928.180234,,,0.0063
10,1,-884.1303382,-273.1059249,2112.045347,14.97956028,2112.098467,925.3503667,,,0.007
11,1,-881.1681442,-273.0832129,2117.123872,16.63860396,2117.189253,922.5138154,,,0.0077
12,1,-878.1988169,-273.0581622,2122.22468,18.31285206,2122.30369,919.6705508,,,0.0084
13,1,-875.222325,-273.0307517,2127.347866,20.00215795,2127.441898,916.8205438,,,0.0091
14,1,-872.238637,-273.0009606,2132.493553,21.70636951,2132.604023,913.9637653,,,0.0098
15,1,-869.2477212,-272.968768,2137.661891,23.42533033,2137.790239,911.1001862,,,0.0105
16,1,-866.2495459,-272.9341536,2142.853063,25.15888093,2143.000751,908.2297771,,,0.0112
17,1,-863.2440787,-272.8970971,2148.067282,26.90686002,2148.235794,905.3525087,,,0.0119
18,1,-860.2312872,-272.8575783,2153.304796,28.6691058,2153.495638,902.4683515,,,0.0126
19,1,-857.2111384,-272.8155777,2158.565884,30.44545727,2158.780582,899.5772758,,,0.0133
20,1,-854.183599,-272.7710754,2163.85086,32.23575557,2164.090961,896.6792517,,,0.014
21,1,-851.1486353,-272.7240523,2169.160075,34.03984534,2169.427146,893.7742489,,,0.0147
22,1,-848.1062128,-272.6744891,2174.493914,35.85757607,2174.789541,890.8622369,,,0.0154
23,1,-845.0562967,-272.6223668,2179.8528,37.6888035,2180.178588,887.9431848,,,0.0161
24,1,-841.9988514,-272.5676669,2185.237194,39.533391,2185.594767,885.0170613,,,0.0168
25,1,-838.9338407,-272.5103705,2190.647593,41.39121095,2191.038592,882.0838346,,,0.0175
26,1,-835.8612277,-272.4504595,2196.084534,43.26214612,2196.510618,879.1434722,,,0.0182
27,1,-832.7809745,-272.3879155,2201.548592,45.14609107,2202.011438,876.1959415,,,0.0189
28,1,-829.6930425,-272.3227204,2207.040382,47.04295351,2207.541684,873.2412088,,,0.0196
29,1,-826.5973923,-272.2548562,2212.560556,48.95265569,2213.102026,870.2792401,,,0.0203
30,1,-823.4939834,-272.184305,2218.10981,50.87513577,2218.693176,867.3100003,,,0.021
31,1,-820.3827743,-272.1110489,2223.688875,52.81034916,2224.315883,864.3334537,,,0.0217
32,1,-817.2637224,-272.0350702,2229.298524,54.75826985,2229.970937,861.349564,,,0.0224
