"G: 16000, DT: 0.0007",,x,y,vx,vy,p_mag,v_mag
,1,-849.328097,39.35403142,1662.696869,-0.155041334,850.2393523,1662.696876
,1,-846.9935396,39.35349214,1669.158909,-0.461507341,847.9072788,1669.158973
,1,-844.6498957,39.35252902,1675.658571,-0.763001815,845.5661227,1675.658745
,1,-842.297113,39.35114918,1682.195678,-1.059364116,843.2158322,1682.196012
,1,-839.9351393,39.34935996,1688.770036,-1.350455875,840.8563553,1688.770576
,1,-837.5639225,39.34716885,1695.38144,-1.636162134,838.4876409,1695.38223
,1,-835.183411,39.3445835,1702.029677,-1.916392415,836.1096377,1702.030756
,1,-832.7935536,39.34161164,1708.714523,-2.191081705,833.7222951,1708.715928
,1,-830.3942991,39.33826107,1715.435752,-2.460191357,831.3255625,1715.437516
,1,-827.985597,39.33453962,1722.193132,-2.723709906,828.9193898,1722.195286
,1,-825.5673968,39.3304551,1728.986433,-2.981653777,826.5037273,1728.989004
,1,-823.1396484,39.32601527,1735.815423,-3.234067898,824.0785256,1735.818436
,1,-820.7023023,39.32122779,1742.679878,-3.481026214,821.6437354,1742.683355
,1,-818.2553088,39.31610021,1749.579579,-3.722632079,819.199308,1749.583539
,1,-815.798619,39.31063987,1756.514318,-3.959018557,816.7451948,1756.51878
,1,-814.5666227,39.30778715,1759.994764,-4.075304277,815.5144909,1759.999483
,1,-810.855955,39.29874922,1770.488137,-4.416815114,811.8077183,1770.493647
,1,-808.369884,39.29233236,1777.526873,-4.63864094,809.3242593,1777.532925
,1,-805.8739226,39.28560958,1784.599962,-4.856078687,806.830923,1784.606569
,1,-803.368023,39.27858673,1791.707283,-5.069410495,804.3276619,1791.714455
,1,-800.8521372,39.27126922,1798.848745,-5.278947674,801.8144288,1798.85649
,1,-798.3262177,39.26366202,1806.02428,-5.485030259,799.2911766,1806.032609
,1,-795.7902166,39.25576958,1813.233854,-5.688026453,796.757858,1813.242776
,1,-793.2440864,39.24759581,1820.477468,-5.888331998,794.2144259,1820.486991
,1,-790.6877793,39.23914402,1827.755158,-6.086369451,791.6608332,1827.765292
,1,-788.1212477,39.23041694,1835.066997,-6.282587384,789.0970325,1835.077752
,1,-785.5444435,39.2214166,1842.413102,-6.477459512,786.5229763,1842.424488
